Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
DAKAR,DAKAR,GOREE,GOREE,MBAMBARA,41,53,137,147,284
DAKAR,DAKAR,GOREE,GOREE,PONTY,57,95,340,361,701
DAKAR,DAKAR,GOREE,GOREE,TONGHOR,37,83,185,182,367
DAKAR,DAKAR,GOREE,GOREE,CASTEL,35,59,180,159,339
DAKAR,DAKAR,"VILLE DE DAKAR","DAKAR PLATEAU","CITE CAP VERDIENNE",56,180,408,371,779
DAKAR,DAKAR,"VILLE DE DAKAR","DAKAR PLATEAU","DAROU SALAM I",64,284,627,591,1218
DAKAR,DAKAR,"VILLE DE DAKAR","DAKAR PLATEAU",DIECKO,78,256,423,483,906
DAKAR,DAKAR,"VILLE DE DAKAR","DAKAR PLATEAU","DIECKO PLATEAU II",25,120,186,227,413
DAKAR,DAKAR,"VILLE DE DAKAR","DAKAR PLATEAU","GOUYE SALANE",50,173,315,323,638
DAKAR,DAKAR,"VILLE DE DAKAR","DAKAR PLATEAU","HOCK SANS FILS",230,894,2226,1801,4027
DAKAR,DAKAR,"VILLE DE DAKAR","DAKAR PLATEAU","KAYES FINDIW",101,383,999,1130,2129
DAKAR,DAKAR,"VILLE DE DAKAR","DAKAR PLATEAU",LAMBINASSE,115,320,465,506,971
DAKAR,DAKAR,"VILLE DE DAKAR","DAKAR PLATEAU",MBOTTE,26,78,213,227,440
DAKAR,DAKAR,"VILLE DE DAKAR","DAKAR PLATEAU","NIAYE THIOCKER",84,436,1110,1043,2153
DAKAR,DAKAR,"VILLE DE DAKAR","DAKAR PLATEAU","PARC FOURRAGE",23,235,474,476,950
DAKAR,DAKAR,"VILLE DE DAKAR","DAKAR PLATEAU",PETERSEN,52,185,834,512,1346
DAKAR,DAKAR,"VILLE DE DAKAR","DAKAR PLATEAU",REUBEUSS,432,1723,5669,4024,9693
DAKAR,DAKAR,"VILLE DE DAKAR","DAKAR PLATEAU","ROUKHOU DJINE",77,371,837,1052,1889
DAKAR,DAKAR,"VILLE DE DAKAR","DAKAR PLATEAU",SANDIAL,275,981,1624,1829,3453
DAKAR,DAKAR,"VILLE DE DAKAR","DAKAR PLATEAU",THIEDEME,67,211,468,485,953
DAKAR,DAKAR,"VILLE DE DAKAR","DAKAR PLATEAU","YAKHA DIEUF",142,649,1630,1363,2993
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"ABATTOIRS I",104,454,1216,985,2201
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"ABATTOIRS II",115,485,1186,1059,2245
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"ABATTOIRS III",56,238,502,515,1017
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"ABATTOIRS IV",65,299,757,580,1337
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"ABATTOIRS V",80,514,1076,930,2006
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"BOULEVARD GENERAL DE GAULLE",248,334,833,899,1732
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"DIECKO NORD I",113,678,1527,1261,2788
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"DIECKO NORD II",135,888,2171,1858,4029
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"DIECKO PINTH",223,869,2205,1905,4110
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"DIECKO SUD",135,607,1473,1089,2562
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"GIBRALTAR I",248,312,822,935,1757
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"GIBRALTAR II",181,454,1031,1244,2275
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"GOUYE MARIAMA LAYENE",90,433,1271,1157,2428
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"GOUYE MARIAMA PINTH",232,964,2554,2290,4844
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"GOUYE SALANE II",97,577,1304,1052,2356
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"GOUYE SALANE PINTH",300,1620,3868,3353,7221
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"GOUYE SALANE I",155,807,1887,1579,3466
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"GOUYE TANN",166,746,1773,1672,3445
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"KAYE OUSMANE DIENE",231,1212,2642,2411,5053
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,MBACKEUNEU,99,444,988,847,1835
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,NGARAFF,61,311,810,668,1478
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"NGARAFF PINTH",158,723,1880,1556,3436
DAKAR,DAKAR,"VILLE DE DAKAR",MEDINA,"RASS MISSION",81,354,870,932,1802
